*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CarMyPrefBoardSMDv6dl_multi_x3
*Date=12:26:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;0.1mF;100 mil [THT, electrolytic];1.15765;-36.0081;-90;Bottom;C2
2;;;6.41402;-35.1499;0;Bottom;Via6
3;;;7.87739;-35.083;-90;Bottom;TXT17
4;;;4.07607;-28.4771;0;Bottom;Via5
5;;;1.05534;-17.615;0;Bottom;TXT12
6;;;8.45163;-39.0169;0;Bottom;TXT19
7;;;7.87536;-11.6868;-90;Bottom;TXT17
8;;;6.41199;-11.7537;0;Bottom;Via16
9;;;8.41577;-49.1358;0;Bottom;TXT9
10;;;8.9473;-29.6316;0;Bottom;TXT16
11;100nF;0603 [SMD, multilayer];8.98256;-8.34394;90;Top;C9
12;;;1.08411;-2.38937;0;Bottom;TXT7
13;;;6.52668;-32.4855;-90;Bottom;TXT18
14;;;8.4496;-15.6207;0;Bottom;TXT19
15;100nF;0603 [SMD, multilayer];8.95676;-55.1586;90;Top;C6
16;;THT;8.4711;-24.6277;-90;Bottom;J4
17;680;0603 [SMD];3.06856;-44.0789;-90;Top;R1
18;;sot23-3;3.96419;-63.2659;90;Top;U5
19;;;8.45417;-26.4966;0;Top;TXT2
20;;sod-323;8.97329;-11.7056;90;Top;D10
21;;;1.97551;-67.1776;-90;Bottom;TXT26
22;;so;4.69974;-10.1238;180;Top;U6
23;;;9.24944;-15.1152;0;Bottom;TXT11
24;;;8.42634;-49.9151;0;Top;TXT2
25;;Melf DO-213 AA [SMD];6.84084;-19.175;0;Top;D9
26;;;6.52465;-9.08923;-90;Bottom;TXT18
27;;;5.38653;-40.723;0;Bottom;TXT23
28;;;4.07403;-5.08083;0;Bottom;Via15
29;;;7.18042;-66.5705;90;Bottom;TXT25
30;;so;4.70177;-33.52;180;Top;U1
31;;sod-323;7.66663;-32.592;-90;Top;D4
32;;;1.09206;-4.93022;0;Bottom;TXT8
33;;;7.20824;-43.152;90;Bottom;TXT25
34;;;1.02955;-64.4297;0;Bottom;TXT12
35;;;8.94527;-6.2354;0;Bottom;TXT16
36;;;3.85398;-39.8554;90;Bottom;TXT22
37;;;6.4833;-21.4906;-90;Bottom;TXT24
38;;;6.48533;-44.8869;-90;Bottom;TXT24
39;;;6.49885;-55.9039;-90;Bottom;TXT18
40;;;5.3845;-17.3267;0;Bottom;TXT23
41;;THT;8.44505;-62.5423;0;Bottom;JM1
42;;THT;8.47288;-39.1238;0;Bottom;JM
43;;;8.45213;-3.10034;0;Top;TXT2
